0 -265397.62 -2275.6023 -1326.9882 -352.21796 -4.565279006958008 -4.533315954208374 -4.480832099914551
10 -223015.33 -1988.4552 -1115.0767 -349.07928 -2.235189199447632 -2.213270028829575 -2.1950535774230957
20 -231346.81 -1962.0859 -1156.734 -351.55902 -2.5245184898376465 -2.506936901807785 -2.4952309131622314
30 -270611.75 -2333.7058 -1353.0587 -321.62204 -82332.875 -80088.929453125 -78262.8828125
40 -103013.03 -729.74713 -515.0652 -332.48856 -6240.71533203125 -5904.797001953125 -5641.0498046875
50 -195331.78 -1560.2375 -976.65894 -449.72433 -36757.453125 -30656.642568359373 -26050.03515625
60 -185118.9 -1338.7461 -925.59454 -450.06665 -32176.12890625 -26058.78875 -22386.275390625
70 -292880.9 -2489.6448 -1464.4045 -459.90607 -98132.515625 -82374.769140625 -66753.953125
80 -274027.3 -2369.6616 -1370.1366 -451.59808 -91881.75 -76978.65240234375 -62394.3203125
90 -196587.34 -1588.7876 -982.9367 -442.55737 -65411.4453125 -43965.639267578124 -30025.8046875
100 -261384.03 -2247.2075 -1306.9202 -422.00836 -118854.421875 -91109.3888671875 -68487.96875
110 -280750.94 -2309.7417 -1403.7546 -320.67188 -139434.203125 -104919.63890625 -68736.6875
120 -257469.88 -2022.9629 -1287.3494 -412.0587 -99227.046875 -72232.60103515624 -43960.33203125
130 -247957.88 -2120.1943 -1239.7894 -457.73187 -124329.125 -84506.33095703126 -50998.296875
140 -131579.81 -1042.324 -657.89905 -393.1444 -52333.66796875 -35630.23892578125 -23456.978515625
150 -138685.56 -931.9615 -693.4278 -443.41293 -47046.78125 -36569.09739257812 -25125.056640625
160 -90087.09 -508.1938 -450.43546 -398.87888 -26199.94140625 -23376.055712890626 -20602.939453125
170 -247013.81 -2107.6428 -1235.0691 -453.7465 -120851.34375 -80603.99794921876 -41521.4609375
180 -232526.05 -1954.3187 -1162.6302 -355.02975 -123062.3046875 -79027.75921875 -42093.87109375
190 -188854.52 -1424.9514 -944.2726 -418.80005 -93524.515625 -59187.56873046875 -36121.359375
200 -282932.44 -2428.0554 -1414.6622 -427.34473 -148473.890625 -100358.11470703124 -52135.3828125
210 -244427.39 -2072.5532 -1222.137 -425.47394 -144724.03125 -87044.7435546875 -45856.84765625
220 -202193.88 -1682.7927 -1010.96936 -396.09753 -100966.484375 -63606.118359375 -35401.25
230 -204323.56 -1729.2542 -1021.6178 -319.64282 -97679.0546875 -66964.75546875 -32964.6484375
240 -260903.98 -2215.0808 -1304.5199 -386.32092 -140720.109375 -97310.7584765625 -46940.64453125
250 -101170.47 -593.68695 -505.85236 -385.99796 -32040.2890625 -27422.43642578125 -21779.048828125
260 -126114.6 -911.6929 -630.573 -407.06235 -66685.8671875 -41283.09676757813 -28380.302734375
270 -122212.055 -924.65186 -611.0603 -359.50638 -64535.90234375 -38246.23462890625 -27160.072265625
280 -237860.72 -1888.4783 -1189.3036 -325.78845 -127377.2734375 -84194.6851171875 -41617.265625
290 -226337.81 -1976.245 -1131.6891 -359.53125 -122194.5625 -79888.33484375 -39707.91796875
300 -149828.36 -1132.611 -749.1418 -376.89215 -65863.53125 -47861.90211914063 -28184.03125
310 -231572.73 -1922.9185 -1157.8636 -362.84616 -125232.3125 -83947.7179296875 -44177.9453125
320 -253251.89 -2131.6362 -1266.2594 -388.5144 -128182.6328125 -88413.378125 -43588.9140625
330 -184645.02 -1513.1484 -923.2251 -339.74554 -87036.75 -59051.05286132813 -31352.615234375
340 -205866.28 -1643.977 -1029.3314 -437.4801 -96371.09375 -65378.23251953125 -36802.08203125
350 -101259.49 -715.33435 -506.29745 -320.19714 -39406.9375 -30940.497998046874 -22818.275390625
360 -99838.45 -601.4156 -499.19226 -382.15503 -32010.416015625 -26739.87560546875 -21377.14453125
370 -75755.555 -416.4749 -378.77777 -339.51407 -19542.783203125 -18332.286982421876 -16843.70703125
380 -179851.78 -1437.2751 -899.2589 -438.75842 -82984.984375 -60036.31111328125 -35257.24609375
390 -190778.86 -1602.9432 -953.8943 -447.10797 -92486.109375 -63673.39552734375 -37096.22265625
400 -165832.92 -1227.1085 -829.1646 -383.8295 -64048.359375 -48904.569931640624 -30632.287109375
410 -248643.19 -2018.4663 -1243.216 -390.36176 -118357.3125 -81148.0044921875 -41853.7578125
420 -235808.12 -1928.8033 -1179.0406 -319.22894 -112126.3359375 -78301.006171875 -35632.21484375
430 -176865.5 -1483.4618 -884.3275 -410.83154 -80595.015625 -54538.5179296875 -28633.298828125
440 -178089.0 -1497.4398 -890.445 -325.74548 -81169.0234375 -57002.429580078126 -29185.939453125
450 -259585.78 -2198.1438 -1297.929 -383.11398 -132941.828125 -88058.8422265625 -43107.15625
460 -91953.96 -519.228 -459.7698 -360.68774 -28247.84765625 -25511.15177734375 -21636.0078125
470 -152464.25 -1064.754 -762.3212 -432.39124 -55447.24609375 -43604.42998046875 -30029.5234375
480 -130179.59 -943.28906 -650.89795 -339.6997 -51512.55078125 -39100.41583007813 -24684.12890625
